Epoch Time,Open value,Highest value,Lowest value,Close value,Volume
12/1/2021, 9:15:00 AM, 3535, 3590,3535,3576.8,848166
12/1/2021, 10:15:00 AM, 3576, 3583,3566.7,3573.6,191761
12/1/2021, 11:15:00 AM, 3574.55, 3578.9,3568,3572.75,201529
12/1/2021, 12:15:00 PM, 3573.85, 3584.85,3563.8,3577,213699
12/1/2021, 1:15:00 PM, 3576.85, 3577.9,3558.5,3563.6,203273
12/1/2021, 2:15:00 PM, 3563.45, 3582,3560.7,3579,303039
12/1/2021, 3:15:00 PM, 3579, 3582,3576.4,3579,114659
12/2/2021, 9:15:00 AM, 3589.2, 3599.1,3574.1,3598.7,717388
12/2/2021, 10:15:00 AM, 3599, 3606,3592,3605.65,337119
12/2/2021, 11:15:00 AM, 3605.9, 3615,3603,3610.8,400062
12/2/2021, 12:15:00 PM, 3610.8, 3631.45,3608,3628.15,580599
12/2/2021, 1:15:00 PM, 3628.15, 3633.9,3625,3631,319647
12/2/2021, 2:15:00 PM, 3631, 3646.1,3626.65,3646,510795
12/2/2021, 3:15:00 PM, 3646.05, 3648,3637,3637,264021